396	1000000623	1	48
396	1000000623	3	32
396	1000000623	SUM	80
3052	1000012763	6	43044
3052	1000012763	9	45110
3052	1000012763	1	45421
3052	1000012763	3	40164
3052	1000012763	SUM	173739
1532	1000003939	4	72
1532	1000003939	6	491
1532	1000003939	9	369
1532	1000003939	1	385
1532	1000003939	3	258
1532	1000003939	SUM	1575
5049	1000019133	6	83
5049	1000019133	9	89
5049	1000019133	1	89
5049	1000019133	3	67
5049	1000019133	SUM	328
4284	1000016547	4	207
4284	1000016547	6	940
4284	1000016547	9	888
4284	1000016547	1	891
4284	1000016547	3	836
4284	1000016547	SUM	3762
397	1000000624	1	1339
397	1000000624	3	667
397	1000000624	SUM	2006
3712	1000014023	6	51309
3712	1000014023	9	53558
3712	1000014023	1	53422
3712	1000014023	3	34377
3712	1000014023	SUM	192666
4948	1000018845	6	559834
4948	1000018845	9	591972
4948	1000018845	11	5951
4948	1000018845	30	13769
4948	1000018845	1	591550
4948	1000018845	3	506017
4948	1000018845	SUM	2269093
324	1000015110	5	66777
324	1000015110	SUM	66777
4056	1000015538	6	42
4056	1000015538	9	45
4056	1000015538	1	46
4056	1000015538	3	2
4056	1000015538	SUM	135
364	1000004590	6	295132
364	1000004590	9	312795
364	1000004590	11	815
364	1000004590	30	3442
364	1000004590	3	308023
364	1000004590	SUM	920207
260	1000000432	4	11
260	1000000432	1	32
260	1000000432	3	17
260	1000000432	SUM	60
2107	1000007204	6	4198
2107	1000007204	9	4283
2107	1000007204	1	4300
2107	1000007204	3	3755
2107	1000007204	SUM	16536
3993	1000017461	5	107141
3993	1000017461	25	46508
3993	1000017461	SUM	153649
2136	1000007332	6	91117
2136	1000007332	9	96742
2136	1000007332	3	79720
2136	1000007332	SUM	267579
2487	1000016263	6	1
2487	1000016263	9	1
2487	1000016263	1	1
2487	1000016263	SUM	3
1630	1000017595	6	98014
1630	1000017595	9	102567
1630	1000017595	11	167
1630	1000017595	30	102
1630	1000017595	1	103568
1630	1000017595	3	98730
1630	1000017595	SUM	403148
3849	1000014611	6	60751
3849	1000014611	9	63531
3849	1000014611	1	63736
3849	1000014611	3	53393
3849	1000014611	SUM	241411
3063	1000016822	3	80
3063	1000016822	SUM	80
341	1000021215	4	117730
341	1000021215	6	519140
341	1000021215	9	558996
341	1000021215	11	2
341	1000021215	1	565268
341	1000021215	3	538655
341	1000021215	SUM	2299791
3063	1000011476	4	1392
3063	1000011476	6	4146
3063	1000011476	9	4288
3063	1000011476	1	4286
3063	1000011476	3	3593
3063	1000011476	SUM	17705
2190	1000017555	6	5818
2190	1000017555	9	6099
2190	1000017555	11	51
2190	1000017555	1	6133
2190	1000017555	3	5488
2190	1000017555	SUM	23589
4272	1000016557	6	586
4272	1000016557	9	562
4272	1000016557	1	564
4272	1000016557	3	511
4272	1000016557	SUM	2223
3994	1000015284	6	7605
3994	1000015284	9	8051
3994	1000015284	1	8105
3994	1000015284	3	6742
3994	1000015284	SUM	30503
3018	1000018477	5	209184
3018	1000018477	SUM	209184
1441	1000003480	4	2
1441	1000003480	6	5
1441	1000003480	9	7
1441	1000003480	1	7
1441	1000003480	3	5
